player,division,team,matches,goals,assists,points,penalty
?-Erik Nietzsche,Bäst i Stan Herrjunior,Duvbo IK,3,0,2,2,0
?-Erik Nietzsche,Bäst i Stan Herrjunior Slutspel,Duvbo IK,1,0,0,0,2
?-Erik Nietzsche,USM Pojkar 16,Duvbo IK,3,1,1,2,0
?-Erik Nietzsche,Herrar Division 4 Norra,Duvbo IK (A),4,2,2,4,0
?-Erik Nietzsche,Herrar Division 5 Västra,Duvbo IK (B),1,0,0,0,0
?-Erik Nietzsche,Pantamera Herrjuniorer Division 2 Södra,Duvbo IK (A),4,1,4,5,0
?-Erik Nietzsche,Pantamera Herrjuniorer Division 3 Norra,Duvbo IK (C),1,2,1,3,0
?-Erik Nietzsche,TOTALT,,17,6,10,16,2
?-Axel Westman,Bäst i Stan Herrjunior,Duvbo IK,1,0,0,0,0
?-Axel Westman,USM Pojkar 16,Duvbo IK,3,0,0,0,0
?-Axel Westman,Pantamera Herrjuniorer Division 2 Södra,Duvbo IK (A),1,0,0,0,0
?-Axel Westman,Pantamera Herrjuniorer Division 3 Mellersta,Duvbo IK (B),2,0,2,2,0
?-Axel Westman,Pantamera Herrjuniorer Division 3 Norra,Duvbo IK (C),2,0,1,1,0
?-Axel Westman,Pantamera Pojkar 2009 B,Duvbo IK,4,-,-,-,-
?-Axel Westman,TOTALT,,13,0,3,3,0
?-Jesper Bel Mekki,Pantamera Pojkar 2009 B,Duvbo IK,2,-,-,-,-
?-Jesper Bel Mekki,TOTALT,,2,0,0,0,0
?-Ture Karlsson,Pantamera Herrjuniorer Division 3 Norra,Duvbo IK (C),2,0,0,0,0
?-Ture Karlsson,Pantamera Pojkar 2009 B,Duvbo IK,4,-,-,-,-
?-Ture Karlsson,Pantamera Pojkar 2010 C,Duvbo IK,1,-,-,-,-
?-Ture Karlsson,TOTALT,,7,0,0,0,0
?-Matteus Rydell,USM Pojkar 16,Duvbo IK,2,0,0,0,0
?-Matteus Rydell,Pantamera Herrjuniorer Division 3 Mellersta,Duvbo IK (B),1,0,0,0,0
?-Matteus Rydell,Pantamera Pojkar 2009 B,Duvbo IK,1,-,-,-,-
?-Matteus Rydell,TOTALT,,4,0,0,0,0
?-Simon Normell,Bäst i Stan Herrjunior,Duvbo IK,1,0,0,0,0
?-Simon Normell,USM Pojkar 16,Duvbo IK,3,0,0,0,0
?-Simon Normell,Pantamera Herrjuniorer Division 2 Södra,Duvbo IK (A),3,0,0,0,0
?-Simon Normell,Pantamera Herrjuniorer Division 3 Mellersta,Duvbo IK (B),1,0,1,1,0
?-Simon Normell,Pantamera Herrjuniorer Division 3 Norra,Duvbo IK (C),2,0,0,0,0
?-Simon Normell,Pantamera Pojkar 2009 B,Duvbo IK,5,-,-,-,-
?-Simon Normell,TOTALT,,15,0,1,1,0
?-Gustav Wåhlin,Pantamera Herrjuniorer Division 3 Norra,Duvbo IK (C),1,0,0,0,0
?-Gustav Wåhlin,Pantamera Pojkar 2009 B,Duvbo IK,1,-,-,-,-
